wavelength,AF_CsPbI3,AF_FA0.25Cs0.75PbI3,AF_FA0.5Cs0.5PbI3,AF_FA0.75Cs0.25PbI3,AF_FAPbI3,TF_Cs0.25FA0.75PbI3,TF_Cs0.5FA0.5PbI3,TF_Cs0.75FA0.25PbI3,TF_CsPbI3_avg,TF_CsPbI3_black phase,TF_CsPbI3_yellow phase,TF_FAPbI3
421.8,379.924786,504.12995200000006,515.1905,671.613,573.0821,530.9879,564.3835,610.8847,557.6697,460.0,587.0,813.87823
423.82,380.335234,510.68904000000003,514.77856,667.243076,566.622934,530.84705,572.64996,618.8411,562.04126,525.0,502.0,851.8564
425.84,383.897858,513.406818,518.13336,669.779284,565.2066219999999,532.4972,581.0368,625.1697,564.3331,509.0,436.0,893.447
427.87,378.46225999999996,516.549678,518.22144,662.299678,561.422268,533.36316,588.6431,630.04694,565.6397,473.0,544.0,936.42535
429.9,377.773296,518.487892,519.09283,661.01408,560.1054,534.3483,599.67664,636.3936,569.02625,519.0,532.0,980.79266
431.92,381.05670399999997,523.451274,555.4405,665.199832,571.6091140000001,539.7118,618.4048,649.6174,574.07074,509.0,617.0,1035.7408
433.95,588.82282,878.02616,794.11426,1062.98372,817.3322479999999,835.45575,1006.4272,1013.4377,882.7947,803.0,796.0,1793.208
435.98,766.441406,1168.60654,999.1429,1361.69892,1061.70254,1167.2148,1471.871,1484.2175,1265.9607,1077.0,1154.0,2631.9749
438.01,377.722768,541.996604,586.7595,658.874294,573.76202,547.11884,697.55347,714.5661,608.77924,518.0,569.0,1171.4769
440.04,373.167056,548.6637720000001,534.33093,650.9139279999999,548.9310360000001,538.7661,734.7249,748.86194,627.2517,525.0,603.0,1188.3448
442.07,381.54135,564.04353,541.8,646.780898,547.003212,539.5193,780.8038,791.8257,652.8664,489.0,638.0,1225.393
444.1,397.494752,581.446988,553.47144,642.487034,541.5957860000001,540.0578,831.0602,841.86694,684.3226,538.0,823.0,1264.4069
446.14,423.357206,603.238382,569.75,638.933048,541.933462,538.66614,881.85004,894.0587,717.7079,490.0,750.0,1302.0654
448.17,456.73044,633.11024,587.3738,636.18066,538.564668,536.63995,932.63184,946.1468,752.1964,531.0,960.0,1339.6466
450.2,499.391688,661.778636,608.1238,634.884052,537.216402,535.14343,982.60187,999.2301,787.7716,528.0,919.0,1378.499
452.24,554.641558,695.8323280000001,631.5333,629.639,532.859886,533.9123,1027.7772,1049.4413,822.36816,497.0,1044.0,1414.5063
454.27,616.856054,732.905706,655.83093,626.273548,530.4504880000001,531.0869,1066.2998,1090.9562,853.2423,522.0,1143.0,1449.7598
456.31,689.826154,773.135426,683.2476,623.79085,528.156832,530.61774,1099.9218,1128.0042,879.89154,574.0,1248.0,1483.6543
